"CODE";"BOROUGH";"YEAR";"VAL_01_AGE";"VAR_01_AGE";"IND_01_AGE";"VAL_02_RACE_WHITE";"VAR_02_RACE_WHITE";"IND_02_RACE_WHITE";"VAL_03_WEEK_EARNINGS";"VAR_03_WEEK_EARNINGS";"IND_03_WEEK_EARNINGS";"VAL_04_PERCENT_NVQ4";"VAR_04_PERCENT_NVQ4";"IND_04_PERCENT_NVQ4";"VAL_05_CAR_TRAFFIC";"VAR_05_CAR_TRAFFIC";"IND_05_CAR_TRAFFIC";"VAL_06_EXP_LIFE";"VAR_06_EXP_LIFE";"IND_06_EXP_LIFE";"VAL_07_CRIMES";"VAR_07_CRIMES";"IND_07_CRIMES";"VAL_08_SERVICES";"VAR_08_SERVICES";"IND_08_SERVICES";"VAL_09_HOUSE_PRICE";"VAR_09_HOUSE_PRICE";"IND_09_HOUSE_PRICE";"VAL_10_HOUSE_RENT";"VAR_10_HOUSE_RENT";"IND_10_HOUSE_RENT"
"E09000016";"Havering";2021;45,53;0,3219;-0,4692;81,23;-0,7567;-0,0908;585,7;1,4875;-0,1408;37,1;6,9772;1,6229;1197;-0,2797;0,7313;81,12;-0,016;-1,6504;1401,08;-0,1011;0,5858;1785;2,6067;-0,2991;384345,33;5,7589;0,0317;118,14;2,1427;-0,0696
"E09000016";"Havering";2031;45,6;0,0154;-0,9239;77,81;-0,4292;-0,2016;618,15;0,5407;-0,7619;51,86;3,406;0,4099;1215;0,1494;-0,8625;79,32;-0,2241;-1,2728;1594,13;1,2992;0,2134;1735;-0,2837;-1,2129;486209,12;2,3788;0,1055;146,58;2,1804;-0,0828
"E09000017";"Hillingdon";2001;45,85;0;0;78,86;0;0;396,3;0;0;24,2;0;0;1929;0;0;78,91;0;0;2422,83;0;0;1800;0;0;145293,69;0;0;65,81;0;0
"E09000017";"Hillingdon";2011;45,16;-0,1515;0,811;60,57;-2,6042;-0,5172;497,4;2,5568;0,0858;35,3;5,5414;0,0786;1890;-0,204;0,6891;81,41;0,3906;-0,1391;2145,33;-1,2091;0,5796;1905;0,7112;-0,2529;251781,66;5,652;-0,0883;102,57;4,5377;0,0037
"E09000017";"Hillingdon";2021;44,22;-0,2101;-1,3465;49,38;-2,0218;-1,9145;594,8;1,8044;0,0423;49,7;3,4804;0,3084;1767;-0,6707;0,3556;81,25;-0,0197;-1,8008;2036,5;-0,5193;-1,1274;2705;3,5684;-0,0406;426096,25;5,4019;-0,0322;125;1,9974;-0,1327
"E09000017";"Hillingdon";2031;44,76;0,1215;-0,3997;44,04;-1,1379;-2,1856;659,82;1,0428;-0,5407;68,35;3,2377;0,3402;1897;0,7124;-0,3443;80,55;-0,0865;0,1227;2201,12;0,7804;-0,2711;3190;1,6629;0,2481;533031,28;2,2644;0,0523;157,92;2,3653;-0,005
"E09000018";"Hounslow";2001;44,39;0;0;64,83;0;0;388,6;0;0;25,5;0;0;1423;0;0;77,62;0;0;2494,08;0;0;1370;0;0;153622,97;0;0;66,96;0;0
"E09000018";"Hounslow";2011;46,93;0,558;1,6962;51,38;-2,2984;-0,3391;473,2;2,2127;-0,0603;47,3;9,2274;0,7961;1366;-0,408;0,3781;80,88;0,5156;0,1364;1974,67;-2,3081;0,1975;1595;1,919;1,016;264605,14;5,5879;-0,0986;100,04;4,0964;-0,0939
"E09000018";"Hounslow";2021;43,71;-0,7083;-2,168;46,75;-0,9399;-0,3549;567,2;1,8285;0,0562;56,8;1,8471;-0,3056;1180;-1,4531;-0,3961;81,18;0,037;0,5041;1927,25;-0,2428;0,0053;2205;3,2915;-0,115;420711,83;4,7463;-0,1497;125,61;2,3022;-3e-04
"E09000018";"Hounslow";2031;43,29;-0,0965;-1,4768;44,38;-0,5189;-0,4527;593,13;0,448;-0,8027;73,67;2,6347;0,0906;1370;1,5042;0,3846;81,68;0,0614;1,6227;2105,33;0,8877;-0,1709;2767;2,2963;0,7236;547380,47;2,6669;0,2394;158,7;2,3659;-0,0048
"E09000019";"Islington";2001;42,6;0;0;75,42;0;0;465;0;0;40;0;0;373;0;0;76,41;0;0;3134,25;0;0;1935;0;0;219818,4;0;0;59,16;0;0
"E09000019";"Islington";2011;48,06;1,2133;2,5138;68,21;-0,9998;0,4175;598,5;2,844;0,2078;58,7;5,6323;0,0963;301;-2,1218;-2,234;79,66;0,522;0,1505;2213,92;-3,4165;-0,1879;2030;0,6009;-0,3687;424103,79;6,7925;0,0957;98,9;5,273;0,1663
"E09000019";"Islington";2021;41,16;-1,5379;-3,5361;67,31;-0,1327;0,8087;670,7;1,1455;-0,3383;67,5;1,4067;-0,4712;244;-2,0775;-0,9961;80,4;0,0925;2,7602;2027,75;-0,8745;-2,5825;3210;4,689;0,2607;679191,58;4,8219;-0,1361;128,61;2,6616;0,1557
"E09000019";"Islington";2031;38,86;-0,5734;-3,833;66,74;-0,085;0,762;714,66;0,6369;-0,7195;83,68;2,172;-0,1009;264;0,7909;-0,272;79,2;-0,1503;-0,5243;2468,89;1,9879;0,8566;4262;2,8752;1,1581;827369,17;1,9931;-0,0738;167,1;2,6527;0,1158
"E09000020";"Kensington and Chelsea";2001;42,75;0;0;78,64;0;0;601,5;0;0;38,9;0;0;458;0;0;81,67;0;0;2467,08;0;0;2630;0;0;420129,47;0;0;55,97;0;0
"E09000020";"Kensington and Chelsea";2011;46,78;0,9049;2,129;70,63;-1,0685;0,3775;793,9;3,1317;0,33;59,6;6,2847;0,2233;392;-1,544;-1,3533;83,62;0,2954;-0,3489;1652,25;-3,9297;-0,3663;2730;0,4676;-0,5088;908565,09;8,0183;0,2935;97,23;5,678;0,2559
"E09000020";"Kensington and Chelsea";2021;43,61;-0,6992;-2,153;69,45;-0,1683;0,7574;763,6;-0,3884;-1,2244;63,8;0,6833;-0,7431;326;-1,8268;-0,7552;83,6;-0,0024;-1,0976;1510,25;-0,8946;-2,6649;3040;1,0814;-0,7092;1343814,58;3,9916;-0,2849;128,78;2,8501;0,2376
